word,count
school,2
hospital,2
clinic,2
doctors,2
abortion,1
fertility_clinic,1
gynaecology,1
midwife,1
baby_hatch,1
police,1
social_facility,2
shelter,3
abuse,1
street_lamp,2
phone,2
childcare,4
polling_station,1
toilets,1
bus_stop,2
feminine_hygiene,1
domestic_violence_facility,1
gender_based_violence_facility,1
womens_clinic,3
family_planning,3
maternity_waiting_shelter,1
shop,2
beauty,2
hairdresser,2
nursery,2
creche,2
